EXPOCODE 33RO200501 WHP-ID A16S CRUISE DATES 011105 - 022405 20110831CCHDOSIOCBG                                                                                                                                                                                                                                          *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDRAW  CTDPRS  CTDTMP  CTDSAL  SALNTY  CTDOXY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  CFC113    CCL4  TCARBN  ALKALI    PCO2 PCO2TMP  PH_SWS  PH_TMP     DOC  DELC14  C14ERR  DELC13 CDOM325 CDOM340 CDOM380 CDOM412  CDOMSL  CDOMSN   THETA                     QUALT1
                                    DBAR    DBAR  ITS-90  PSS-78  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG PMOL/KG PMOL/KG UMOL/KG UMOL/KG    UATM   DEG C           DEG C UMOL/KG  /MILLE  /MILLE  /MILLE     1/M     1/M     1/M     1/M    1/NM    1/NM   DEG C                          *
                         *******                         ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******         *******         ******* *******         ******* ******* ******* ******* ******* ******* *******                                  *
       1       1      22      22  799.10   799.1  0.3853 34.6807 -9.0000   208.8   208.2  116.45   32.61    0.01    2.53   0.523   0.264   0.011   0.588    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.3489 22922222422239999999999999
       1       1      24      24  799.30   799.3  0.3860 34.6807 -9.0000   208.9    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000  -9.000  -9.000    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.3495 92929999999999999999999999
       1       1      23      23  799.30   799.3  0.3858 34.6807 -9.0000   208.9    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000  -9.000  -9.000  2265.3    -9.0  1130.9   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.3493 22929999999992929999999999
       1       1      19      19  997.60   997.6  0.3032 34.6795 -9.0000   211.4   211.0   -9.00   -9.00   -9.00   -9.00   0.498   0.236   0.015   0.518    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.2566 22922999932239999999999999
       1       1      21      21  997.60   997.6  0.3032 34.6795 -9.0000   211.6    -9.0  118.85   32.60    0.00    2.50  -9.000  -9.000  -9.000  -9.000    -9.0  2352.1    -9.0   20.00  7.5887   25.00   39.76  -149.3     3.4    0.57 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.2567 22929222499999296222999999
       1       1      20      20  997.90   997.9  0.3036 34.6795 -9.0000   211.6    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000  -9.000  -9.000    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.2570 92929999999999999999999999
       1       1      16      16 1197.80  1197.8  0.2129 34.6771 -9.0000   214.6   213.7  120.34   32.63    0.00    2.40   0.492   0.253   0.010   0.592    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.1558 22922222422239999999999999
       1       1      18      18 1197.90  1197.9  0.2132 34.6771 34.6771   214.6    -9.0  120.23   32.56    0.01    2.40  -9.000  -9.000  -9.000  -9.000    -9.0  2353.1    -9.0   20.00  7.5914   25.00   39.55  -152.5     4.6    0.58 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.1561 22229222499999396222999999
