EXPOCODE 33RO20131223 WHP-ID A16S CRUISE DATES 20131226 TO 20140130 20150127SIOCCHCBG                                                                                                                                                       *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12     SF6    CCL4     DOC  TRITUM  HELIUM  TCARBN  ALKALI    PCO2 PCO2TMP  PH_SWS  PH_TMP               QUALT1
                                    DBAR  ITS-90  PSS-78 UMOL/KG  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG FMOL/KG NMOL/KG UMOL/KG      TU UMOL/KG UMOL/KG UMOL/KG    UATM   DEG C           DEG_C                    *
                         *******                 ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******         *******                            *
       1       2      24      24     3.9 26.2239 36.3097   199.1 36.3082   201.2    0.70   -9.00   -9.00    0.12   1.644   1.095  1.2730  -9.000   69.22  -9.000 -9.0000  2065.6  2377.4    -9.0   -9.00  8.0388   25.00 22222222233392996692
       1       2      23      23    22.5 26.2331 36.3090   199.4 36.3171   201.3    0.80   -9.00   -9.00    0.12   1.640   1.098  1.3000  -9.000   66.91  -9.000 -9.0000  2065.9  2375.7    -9.0   -9.00  8.0375   25.00 22222222233392992292
       1       2      22      22    47.4 26.2335 36.3078   200.0 36.3080   201.9    0.80   -9.00   -9.00    0.13   1.638   1.097  1.3110  -9.000   66.77  -9.000 -9.0000  2066.1  2378.8    -9.0   -9.00  8.0396   25.00 22222222233392992292
       1       2      21      21    72.1 26.2112 36.3044   200.6 36.3055   201.0    0.80   -9.00   -9.00    0.14   1.638   1.094  1.2740  -9.000   66.12  -9.000 -9.0000  2065.9  2375.8    -9.0   -9.00  8.0425   25.00 22222222233392992692
       1       2      20      20    97.5 24.2160 36.1165   193.2 36.1258   190.1    1.40    1.30    0.25    0.29   1.779   1.174  1.2960  -9.000   64.24  -9.000 -9.0000  2083.4  2370.2    -9.0   -9.00  7.9991   25.00 22222222233392992296
       1       2      19      19   147.3 15.5167 35.6384   104.9 35.6247   103.3    6.30   19.90    0.03    1.34   2.149   1.296  0.8840  -9.000   54.41  -9.000 -9.0000  2192.9  2338.2    -9.0   -9.00  7.7105   25.00 22222222233392992292
       1       2      18      18   222.8 12.0808 35.1686   109.3 35.1586   108.6    9.60   24.20    0.01    1.61   2.099   1.207  0.6430  -9.000   50.39  -9.000 -9.0000  2198.4  2314.5    -9.0   -9.00  7.6421   25.00 22222222233392992292
       1       2      17      17   296.4  9.8716 34.8809   124.0 34.8809   125.0   12.80   26.70    0.01    1.77   2.009   1.122  0.5450  -9.000   48.23  -9.000 -9.0000  2200.8  2299.3    -9.0   -9.00  7.6151   25.00 22222222233392992292
       1       2      16      16   406.5  8.4675 34.7567    83.8 34.7520    81.4   18.00   34.60    0.01    2.24   0.973   0.532  0.1550  -9.000   46.10  -9.000 -9.0000  2234.7  2295.9    -9.0   -9.00  7.4894   25.00 22222222233392996292
       1       2      15      15   517.9  7.1433 34.6371    93.8 34.6366    88.6   21.80   36.40   -9.00    2.39   0.972   0.533  0.1770  -9.000   44.40  -9.000 -9.0000  2238.1  2292.5    -9.0   -9.00  7.5009   25.00 22222222233392992293
       1       2      14      14   647.7  5.5545 34.5066   139.4 34.5046   130.5   27.30   35.30   -9.00    2.39   0.456   0.242  0.0470  -9.000   42.63  -9.000 -9.0000  2224.7  2295.6    -9.0   -9.00  7.5210   25.00 22222222233392992292
       1       2      13      13   791.9  4.6390 34.4845   158.6 34.4826   148.5   32.50   34.80   -9.00    2.40   0.246   0.130 -9.0000  -9.000   42.02  -9.000 -9.0000  2224.3  2298.6    -9.0   -9.00  7.5360   25.00 22222222233392992292
       1       2      12      12  1047.4  4.2414 34.6431   163.9 34.6429   163.7   32.90   31.90   -9.00    2.21   0.048   0.024 -9.0000  -9.000   41.16  -9.000 -9.0000  2219.7  2308.6    -9.0   -9.00  7.5736   25.00 22222222233392992292
       1       2      11      11  1347.9  4.3278 34.8700   197.4 34.8698   197.1   24.60   26.00   -9.00    1.78   0.095   0.050 -9.0000  -9.000   41.49  -9.000 -9.0000  2197.2  2311.2    -9.0   -9.00  7.6503   25.00 22222222233392992292
       1       2      10      10  1747.8  3.8921 34.9665   238.6 34.9664   238.3   20.00   20.80   -9.00    1.40   0.254   0.134  0.0470  -9.000   42.30  -9.000 -9.0000  2175.3  2300.9    -9.0   -9.00  7.7132   25.00 22222222233392992492
       1       2       9       9  2147.8  3.2522 34.9412   242.7 34.9420   243.6   27.80   21.00   -9.00    1.42   0.111   0.057  0.0110  -9.000   42.06  -9.000 -9.0000  2178.7  2326.1    -9.0   -9.00  7.7222   25.00 22222222233392992292
       1       2       8       8  2597.5  2.8568 34.9202   242.6 34.9188   242.3   35.80   21.70   -9.00    1.48   0.040   0.021 -9.0000  -9.000   41.55  -9.000 -9.0000  2186.9  2321.4    -9.0   -9.00  7.7192   25.00 22222222233392992392
       1       2       7       7  3097.5  2.6784 34.9194   251.1 34.9176   251.7   33.60   20.60   -9.00    1.41   0.132   0.069 -9.0000  -9.000   40.65  -9.000 -9.0000  2181.8  2328.0    -9.0   -9.00  7.7260   25.00 32222223333392992292
