EXPOCODE 316N145_5 WHP-ID I08S, I09S  DATES 120194-011995              20090518CCHDOSIODM                                                                                                                                                                                                      *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDRAW  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  TRITUM  HELIUM  DELC14  TCARBN  ALKALI  C14ERR  DELC13  DELHE3  DELHER  HELIER    NEON  NEONER  TRITER              QUALT1              QUALT2
                                            DBAR IPTS-68  PSS-78 UMOL/KG IPTS-68  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG      TU NMOL/KG  /MILLE UMOL/KG UMOL/KG  /MILLE  /MILLE  PERCNT  PERCNT NMOL/KG NMOL/KG NMOL/KG      TU                                       *
                         *******                         ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******         ******* *******                 *******                                                       *
       4       1      36  SIH001   147.4     9.8 21.1028 35.9364   244.1 21.1009 35.9408   224.5    1.02    0.12    0.00    0.12   2.247   1.262   1.298  1.7530   112.2  2039.2    -9.0     3.8   -9.00   -1.42    0.13  0.0020   7.085   0.036   0.016 2222222222222269922 2222222222222269922
       4       1      35  SIH019   594.4    54.7 19.8913 35.9424   241.4 19.8812 35.9437   232.9    1.04    0.15    0.00    0.14   2.451   1.307  -9.000 -9.0000   100.4  2047.5    -9.0     4.4    1.32 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255229299 2222222222255229299
       4       1      34  SIH025   841.2    79.5 19.0138 35.9201   242.9 18.9995 35.9186   236.7    1.04    0.17    0.00    0.13   2.537   1.373   1.310  1.7670   101.2  2047.2    -9.0     3.6    1.32   -1.55    0.13  0.0020   7.191   0.047   0.016 2222222222222229222 2222222222222229222
       4       1      33  SIH004  1090.6   104.6 18.0026 35.8631   242.2 17.9846 35.8627   233.4    1.06    0.19    0.00    0.17   2.672   1.364   1.129  1.7440   109.0  2057.3  2353.1     4.3    1.36   -1.69    0.16  0.0040   7.123   0.046   0.014 2222222222222222222 2222222222222222222
       4       1      32  SIH005  1592.3   155.1 16.3595 35.7105   231.0 16.3345 35.7126   229.8    0.90    0.76    0.15    0.26   2.869   1.429   1.143  1.7310   105.3  2074.1  2342.9     8.6    1.33   -1.27    0.13  0.0020   7.127   0.052   0.015 2222222222222222222 2222222222222222222
       4       1      31  SIH006  2098.9   206.0 14.8461 35.5499   221.9 14.8149 35.5541   221.8    1.44    3.78    0.01    0.45   2.978   1.468   1.017  1.9090   110.8  2088.4  2358.7     7.5    1.26    9.38    0.13  0.0020   8.214   0.023   0.013 2222222226624223244 2222222226624223244
       4       1      29  SIH008  2588.4   255.2 13.7175 35.3865   222.3 13.6809 35.3809   227.1    1.63    5.52    0.01    0.56   3.031   1.523  -9.000 -9.0000   105.4  2093.2  2325.7     6.1    1.27 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255222299 2222222222255222299
       4       1      30  SIH038  2592.3   255.6 13.7070 35.3832   222.3 13.6704 35.3835   226.8    1.79    5.50    0.01    0.56   3.021   1.505   1.126  1.7710   108.6  2093.4  2327.0     3.6    1.29   -0.68    0.13  0.0020   7.356   0.041   0.015 2222222222222222222 2222222222222222222
