EXPOCODE 316N138_9  WHP-ID P16A/P17A  DATES 100692-112592              20020417WHPOSIOSA                *
  STNNBR  CASTNO  BTLNBR  REVPRS  REVTMP  SALNTY  NITRAT  NITRIT  SILCAT  PHSPHT  DELC14  C14ERR   QUALT1
			    DBAR  ITS-90  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG  /MILLE  /MILLE        *                     
                 *******                 ******* ******* ******* ******* ******* *******                *
      14       1      41  2823.5  1.8700 34.6780   34.70    0.00  120.80    2.43  -999.0    -9.0  2222229
      14       1      81  2824.0  1.8700 34.6800   34.60    0.00  120.80    2.43  -202.2     4.0  2222222
      14       1      42  3128.2  1.7400 34.6950   33.60    0.00  117.10    2.35  -999.0    -9.0  2222229
      14       1      82  3128.7  1.7400 34.6960   33.60    0.00  116.90    2.32  -196.0     4.0  2222222
      14       1      43  3433.4 -9.0000 34.7130   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2255559
      14       1      83  3433.9 -9.0000 34.7130   -9.00   -9.00   -9.00   -9.00  -177.8     4.0  2255552
      14       1      44  3739.4  1.4200 34.7170   32.00    0.00  112.40    2.22  -999.0    -9.0  2222229
      14       1      84  3739.9  1.4200 34.7180   32.00    0.00  112.40    2.22  -177.1     4.0  2222222
      14       1      45  4046.3 -9.0000 -9.0000   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2555559
      14       1      87  4046.8 -9.0000 34.7150   -9.00   -9.00   -9.00   -9.00  -167.9     4.0  2255552
      14       1      46  4354.3  1.1700 34.7160   32.10    0.00  118.60    2.21  -999.0    -9.0  2322229
      14       1      89  4354.8  1.1700 34.7130   31.60    0.00  115.60    2.17  -167.5     4.0  2222222
      14       1      47  4663.3  1.1500 34.7130   32.10    0.00  119.80    2.21  -999.0    -9.0  2222229
      14       1      90  4663.8  1.1500 34.7130   32.00    0.00  118.00    2.19  -168.0     4.0  2222222
      14       1      48  4973.7 -9.0000 -9.0000   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2555559
      14       1      92  4974.2 -9.0000 34.7130   -9.00   -9.00   -9.00   -9.00  -173.0     4.0  2255552
      14       1      49  5285.6  1.1900 34.7120   32.20    0.00  120.20    2.21  -999.0    -9.0  2222229
      14       1      93  5286.1  1.1900 34.7120   32.10    0.00  119.30    2.20  -173.8     4.0  2222222
      22       2      41  3339.4  1.7100 34.7220   32.00    0.01  105.70    2.25  -999.0    -9.0  2222229
      22       2      81  3339.9  1.7100 34.7220   32.00    0.00  105.70    2.27  -165.0     4.0  2222222
      22       2      42  3545.6  1.5700 34.7240   31.90    0.00  107.30    2.23  -999.0    -9.0  2222229
      22       2      82  3546.1  1.5700 34.7240   31.90    0.00  107.40    2.21  -169.5     4.0  2222222
      22       2      43  3749.9 -9.0000 34.7220   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2255559
      22       2      83  3750.4 -9.0000 34.7230   -9.00   -9.00   -9.00   -9.00  -166.5     4.0  2255552
      22       2      44  3951.9  1.3100 34.7200   31.90    0.00  113.30    2.24  -999.0    -9.0  2222229
      22       2      84  3952.4  1.3100 34.7210   31.90    0.00  113.20    2.23  -165.9     4.0  2222222
      22       2      45  4151.0  1.2400 34.7150   32.00    0.00  116.00    2.24  -999.0    -9.0  2222229
      22       2      87  4151.5  1.2400 34.7170   32.00    0.00  116.30    2.24  -167.9     4.0  2222222
      22       2      46  4346.8  1.1800 34.7150   32.10    0.00  117.70    2.25  -999.0    -9.0  2222229
      22       2      89  4347.3  1.1800 34.7150   32.10    0.00  118.00    2.25  -168.9     4.0  2222222
      32       2      41  2863.1  1.7600 34.7380   31.10    0.00   97.20    2.18  -999.0    -9.0  2222229
      32       2      81  2863.6  1.7600 34.7370   31.00    0.00   97.20    2.22  -999.0    -9.0  2222225
      32       2      42  3065.7  1.5900 34.7350   31.10    0.00  102.40    2.23  -999.0    -9.0  2222229
      32       2      82  3066.2  1.5900 34.7350   31.10    0.00  102.50    2.20  -999.0    -9.0  2222225
      32       2      49  4515.7  1.1000 34.7120   31.80    0.00  122.60    2.26  -999.0    -9.0  2222229
      32       2      93  4516.2  1.1000 34.7130   31.90    0.00  122.30    2.25  -999.0    -9.0  2222225
      38       1      41  2143.6  1.6300 34.7370   31.10    0.00   99.00    2.16  -999.0    -9.0  2222229
      38       1      81  2144.1  1.6300 34.7360   31.10    0.00   99.00    2.17  -157.4     4.0  2222222
      38       1      42  2348.7 -9.0000 34.7320   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2255559
      38       1      82  2349.2 -9.0000 34.7310   -9.00   -9.00   -9.00   -9.00  -158.3     4.0  2255552
      38       1      43  2550.5 -9.0000 34.7270   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2255559
      38       1      83  2551.0 -9.0000 34.7270   -9.00   -9.00   -9.00   -9.00  -159.5     4.0  2255552
      38       1      44  2758.1  1.0900 34.7190   31.70    0.00  114.90    2.22  -999.0    -9.0  2222229
      38       1      84  2758.6  1.0900 34.7190   31.80    0.00  114.70    2.22  -158.0     4.0  2222222
      38       1      49  2962.2 -9.0000 34.7150   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2255559
      38       1      85  2962.7 -9.0000 34.7150   -9.00   -9.00   -9.00   -9.00  -165.7     4.0  2255552
      38       1      45  3164.6  0.9100 34.7110   32.00    0.00  125.60    2.26  -999.0    -9.0  2222229
      38       1      87  3165.1  0.9100 34.7100   32.10    0.00  125.50    2.24  -162.6     4.0  2222222
      38       1      46  3367.3  0.9000 34.7100   32.10    0.00  126.90    2.25  -999.0    -9.0  2222229
      38       1      89  3367.8  0.9000 34.7100   32.10    0.00  126.60    2.26  -159.2     4.0  2222222
      38       1      47  3569.0  0.8800 34.7060   32.20    0.00  126.00    2.25  -999.0    -9.0  2322229
      38       1      90  3569.5  0.8800 34.7090   32.20    0.00  128.20    2.23  -158.8     4.0  2222222
      38       1      48  3769.6  0.8900 34.7080   32.20    0.00  128.50    2.22  -999.0    -9.0  2222229
      38       1      93  3770.1  0.8900 34.7080   32.20    0.00  128.50    2.22  -160.4     4.0  2222222
