EXPOCODE 316N138_9   WHP-ID P16A/P17A     CRUISE DATES 080791 TO 112492    20030310WHPOSIODM                                                                                                                                                                                                   *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  DELHE3  HELIUM  TRITER  DELHER  TRITUM  TCARBN    PCO2  HELIER    NEON  NEONER PCO2TMP  DELC14  C14ERR  DELC13              QUALT1              QUALT2
                                    DBAR  ITS-90  PSS-78 UMOL/KG   DEG C  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG  PERCNT NMOL/KG      TU  PERCNT      TU UMOL/KG    UATM NMOL/KG NMOL/KG NMOL/KG   DEG_C  /MILLE  /MILLE  /MILLE                                       *
                         *******                 ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* ******* *******                 ******* ******* *******         *******                 *******         *******                                       *
       1       1       1       1     3.9 26.2728 36.1059   207.6 26.2719 36.1057   204.6    2.79    0.12    0.00    0.19   1.764   0.970 -999.00 -9.0000  -9.000   -9.00  -9.000  2001.2   245.0 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222226299922999 2222222226299922999
       1       1       2       2    43.9 25.8470 36.0964   200.9 25.8372 36.0968   205.0    2.78    0.07    0.00    0.18   1.777   0.968 -999.00 -9.0000  -9.000   -9.00  -9.000  2005.3   258.0 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222223399922999 2222222223399922999
       1       1       3       3    78.2 24.6776 35.9992   207.9 24.6608 35.9951   208.5    2.53    0.06    0.00    0.14   1.895   1.015 -999.00 -9.0000  -9.000   -9.00  -9.000  2006.5   275.2 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222399922999 2222222222399922999
       1       1       4       4   109.5 23.5679 35.9274   203.5 23.5450 35.9286   211.3    2.28    0.06    0.00    0.15   1.949   1.050 -999.00 -9.0000  -9.000   -9.00  -9.000  2008.7   269.2 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222399922999 2222222222399922999
       1       1       5       5   134.3 22.9494 35.8547   204.0 22.9219 35.8491   204.4    2.27    0.05    0.00    0.19  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2016.2   287.9 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222225599922999 2222222225599922999
       1       1       6       6   159.4 21.8264 35.8027   199.2 21.7949 35.8002   195.0    2.26    0.77    0.03    0.25   1.977   1.035 -999.00 -9.0000  -9.000   -9.00  -9.000  2033.4   311.6 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222299922999 2222222222299922999
       1       1       7       7   183.5 21.1073 35.7272   205.4 21.0719 35.7142   198.1    2.25    0.79    0.06    0.23  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2031.8   320.6 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222225599922999 2222222225599922999
       1       1       8       8   209.8 20.0639 35.6347   201.6 20.0249 35.6263   197.8    2.24    1.30    0.02    0.24   2.050   1.077 -999.00 -9.0000  -9.000   -9.00  -9.000    -9.0    -9.0 -9.0000  -9.000  -9.000    -9.0  -999.0  -999.0   -9.00 2222222223399999999 2222222223399999999
       1       1       9       9   259.3 18.5284 35.5288   199.8 18.4828 35.5534   197.2    2.23    2.05    0.01    0.30  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000    -9.0   361.1 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222225599992999 2222222225599992999
       1       1      10      10   309.2 16.7640 35.3628   189.8 16.7132 35.3583   190.7    2.70    4.94    0.00    0.52   1.817   0.948 -999.00 -9.0000  -9.000   -9.00  -9.000  2072.2   417.0 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222399922999 2222222222399922999
       1       1      11      11   385.4 13.8242 35.0649   189.0 13.7686 -9.0000    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000    -9.0    -9.0 -9.0000  -9.000  -9.000    -9.0  -999.0  -999.0   -9.00 9229999995599999999 9229999995599999999
       1       1      12      12   460.4 10.3447 34.6624   184.5 10.2897 34.6660   182.7    7.46   17.34    0.00    1.31   0.905   0.482 -999.00 -9.0000  -9.000   -9.00  -9.000    -9.0   675.1 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222299992999 2222222222299992999
