EXPOCODE 31WTTUNES_2   WHP-ID P17S,P16S    CRUISE DATES 071691 - 082591 20040408WHPOSIOSA                                                                                                                                                                                              *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  TRITUM  DELHE3  HELIUM  DELC14  TCARBN  ALKALI    PCO2 PCO2TMP  TRITER  DELHER  HELIER  C14ERR  DELC13              QUALT1              QUALT2
                                    DBAR  ITS-90  PSS-78 UMOL/KG   DEG C  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG      TU  PERCNT NMOL/KG  /MILLE UMOL/KG UMOL/KG    UATM   DEG C      TU  PERCNT NMOL/KG  /MILLE  /MILLE                                       *
                         *******                 ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******                                         *******                                       *
     124       1       1       1     1.0 27.4759 35.1665    -9.0 27.4757 35.1720   214.7    2.74    4.66    0.08    0.54   1.676   0.946  -9.000 -999.00 -9.0000  -999.0  1998.6    -9.0   298.1   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2292222222899992929 2292222222299992929
     124       1       2       2    53.2 27.3959 35.1756   216.4 27.3836 35.1817   214.8    2.73    4.81    0.08    0.53   1.639   0.917  -9.000 -999.00 -9.0000  -999.0  2000.6    -9.0   313.2   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2262222222899992929 2262222222299992929
     124       1       3       3    78.5 27.4009 35.1940   213.6 27.3827 35.1999   213.8    2.71    4.91    0.08    0.54   1.507   0.867  -9.000 -999.00 -9.0000  -999.0  2003.4    -9.0   297.7   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2262222222899992929 2262222222299992929
     124       1       4       4    98.0 27.3409 35.4125   206.3 27.3182 35.4790   209.2    2.69    4.56    0.08    0.59   1.532   0.864  -9.000 -999.00 -9.0000  -999.0  2015.1    -9.0   318.4   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2262222222899992929 2262222222299992929
     124       1       5       5   114.0 25.9565 35.9781   193.4 25.9310 35.9803   196.4    2.48    3.08    0.11    0.63   1.731   1.024  -9.000 -999.00 -9.0000  -999.0  2047.4    -9.0   304.5   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222222899992929 2222222222299992929
     124       1       6       6   128.9 24.2842 36.0574   185.1 24.2567 36.0313   186.6    2.27    2.52    2.02    0.67   0.776   0.445  -9.000 -999.00 -9.0000  -999.0  2080.4    -9.0   359.2   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222224499992929 2222222224499992929
     124       1       7       7   154.8 20.1857 35.7663   156.8 20.1568 35.7467   158.3    2.63    7.93    0.15    0.81  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2117.4    -9.0   455.4   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222225599992929 2222222225599992929
     124       1       8       8   181.4 16.1159 35.2264    79.6 16.0870 35.2191    76.0    8.76   18.56    0.05    1.59   1.333   0.758  -9.000 -999.00 -9.0000  -999.0  2181.0    -9.0   781.8   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222222899992929 2222222222299992929
     124       1       9       9   215.7 12.7626 34.9312    20.3 12.7333 34.9300    22.9   20.06   28.61    0.01    2.24   0.371   0.217  -9.000 -999.00 -9.0000  -999.0  2233.0    -9.0  1275.7   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222222299992929 2222222222299992929
     124       1      10      10   265.4 11.3590 34.8341    37.7 11.3256 34.8358    31.5   25.98   31.40    0.01    2.28   0.138   0.089  -9.000 -999.00 -9.0000  -999.0  2237.1    -9.0  1329.6   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222222299992929 2222222222299992929
     124       1      11      11   306.8 10.7732 34.7934    27.3 10.7358 34.7960    21.9   29.41   33.28    0.00    2.42   0.078   0.055  -9.000 -999.00 -9.0000  -999.0  2250.7    -9.0  1420.0   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222222299992929 2222222222299992929
     124       1      12      12   381.6  9.4287 34.7103    19.9  9.3857 34.7132    20.7   35.15   36.09    0.15    2.66   0.023   0.023  -9.000 -999.00 -9.0000  -999.0  2264.3    -9.0  1602.7   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222222299992929 2222222222299992929
     124       1      13      13   454.3  8.5111 34.6527    41.1  8.4628 34.6574    41.2   36.85   36.66    0.00    2.56   0.018   0.014  -9.000 -999.00 -9.0000  -999.0  2258.0    -9.0  1448.2   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222232899992929 2222222232299992929
     124       1      14      14   556.3  7.5365 34.6030    44.9  7.4811 34.6055    43.2   43.35   38.73    0.06    2.74   0.005   0.003  -9.000 -999.00 -9.0000  -999.0  2269.6    -9.0  1603.8   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222222299992929 2222222222299992929
     124       1      15      15   656.2  6.5979 34.5639    53.2  6.5369 34.5666    53.3   51.20   39.86    0.02    2.78   0.001  -0.002  -9.000 -999.00 -9.0000  -999.0  2277.0    -9.0  1536.1   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222228299992929 2222222222299992929
     124       1      16      16   755.7  5.8283 34.5430    63.6  5.7619 34.5465    66.6   59.44   39.88    0.00    2.82   0.006   0.002  -9.000 -999.00 -9.0000  -999.0  2278.0    -9.0  1537.4   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222222299992929 2222222222299992929
     124       1      17      17   908.1  4.9438 34.5376    79.1  4.8691 34.5418    81.1   73.10   39.30    0.06    2.79   0.027   0.005  -9.000 -999.00 -9.0000  -999.0  2289.4    -9.0  1469.9   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222224399992929 2222222224399992929
     124       1      18      18  1055.0  4.2722 34.5475    87.5  4.1897 34.5508    89.3   86.45   38.94    0.04    2.78   0.014   0.000  -9.000 -999.00 -9.0000  -999.0  2297.1    -9.0  1439.7   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222223299992929 2222222223299992929
     124       1      19      19  1201.6  3.7745 34.5625    97.0  3.6837 34.5651    97.5   96.75   38.62    0.00    2.78  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2306.8    -9.0  1417.6   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      20      20  1392.4  3.2628 34.5805   105.7  3.1611 34.5837   108.0  107.12   37.99    0.00    2.70  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2313.5    -9.0  1355.1   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      21      21  1581.0  2.8591 34.6013   114.1  2.7461 34.6021   112.3  116.77   37.78    0.00    2.68  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2319.1    -9.0  1360.5   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      22      22  1780.0  2.5473 34.6187   115.4  2.4215 34.6204   113.8  126.51   37.78    0.00    2.82  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2329.9    -9.0  1348.4   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222239999992929 2222222239999992929
     124       1      23      23  1984.5  2.3224 34.6316   120.7  2.1824 34.6339   119.3  131.90   37.52    0.00    2.69  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2331.2    -9.0  1324.7   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      24      24  2183.4  2.1246 34.6428   123.6  1.9704 34.6462   121.4  138.34   37.47    0.00    2.64  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2335.5    -9.0  1298.1   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      25      25  2333.1  2.0007 34.6536   125.2  1.8354 34.6550   123.5  142.16   37.26    0.00    2.63  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2339.2    -9.0  1300.4   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      26      26  2486.9  1.8997 34.6595   127.9  1.7225 34.6617   127.3  144.35   37.10    0.01    2.63  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2340.7    -9.0  1273.5   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      27      27  2636.4  1.8298 34.6646   131.3  1.6402 34.6672   131.7  145.12   36.74    0.01    2.60  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2338.7    -9.0  1252.1   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      28      28  2787.9  1.7768 34.6698   137.4  1.5742 34.6709   135.6  145.68   36.53    0.00    2.54  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2334.6    -9.0  1224.4   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      29      29  2989.4  1.7119 34.6741   140.4  1.4914 34.6746   140.0  146.64   36.13    0.04    2.62  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2336.4    -9.0  1202.5   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222239999992929 2222222239999992929
     124       1      30      30  3185.2  1.6349 34.6768   146.3  1.3971 34.6792   147.3  144.94   35.81    0.00    2.61  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2330.6    -9.0  1153.4   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222239999992929 2222222239999992929
     124       1      31      31  3387.7  1.5640 34.6835   152.2  1.3076 34.6826   153.9  144.07   35.43    0.02    2.45  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2325.2    -9.0  1137.5   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      33      33  3691.7  1.4880 34.6883   157.5  1.2023 34.6861   157.9  145.24   35.45    0.00    2.54  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2325.9    -9.0  1091.4   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222239999992929 2222222239999992929
     124       1      32      32  3691.9  1.4880 34.6882   157.3  1.2023 -9.0000    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2229999999999995959 2229999999999995959
     124       1      34      34  3995.5  1.4480 34.6911   162.6  1.1311 34.6909   163.3  143.13   35.04    0.00    2.45  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2317.2    -9.0  1085.1   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      35      35  4304.7  1.4131 34.6957   170.6  1.0629 34.6944   171.7  138.59   34.52    0.00    2.38   0.014   0.000  -9.000 -999.00 -9.0000  -999.0  2307.1    -9.0  1076.8   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222223299992929 2222222223299992929
     124       1      36      36  4562.4  1.4320 34.6976   172.0  1.0519 34.6958   172.6  137.11   34.13    0.04    2.42   0.008   0.000  -9.000 -999.00 -9.0000  -999.0  2308.9    -9.0  1084.1   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222228299992929 2222222222299992929
     125       1       1       1     0.4 27.4609 35.2375    -9.0 27.4608 35.2410   214.1    2.54    4.98    0.09    0.55   1.656   0.955  -9.000 -999.00 -9.0000    79.5  2002.6    -9.0   302.2   20.00  -9.000   -9.00 -9.0000     4.0   -9.00 2292222222899922929 2292222222299922929
     125       1       2       2    51.8 27.4709 35.2379   208.8 27.4589 35.2422   213.3    2.44    4.98    0.09    0.54   1.645   0.953  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2262222222899999999 2262222222299999999
