EXPOCODE 31WTTUNES_2 WHP-ID P16S/P17S DATES 083191 TO 100191                20020416WHPOSIOSA
  STNNBR  CASTNO  BTLNBR  REVPRS  REVTMP  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSHHT  DELC14  C14ERR  DELC13    QUALT1
                            DBAR  ITS-90  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG    0/00    0/00    0/00         * 
                 *******                 ******* ******* ******* ******* ******* ******* *******         *******         *
     132       3      41     5.4  27.47   35.769    -9.0     1.8    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     132       3      81     5.9  27.47   35.767    -9.0     1.7    -9.0    -9.0   -9.00    76.5     3.6     1.7 229299922
     132       3      42  1089.4   4.12   34.545    -9.0    83.4    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     132       3      83  1089.9   4.12   34.545    -9.0    83.2    -9.0    -9.0   -9.00  -178.0     3.1    -0.1 229299922
     132       3      43  1290.4   3.44   34.572    -9.0    98.     -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     132       3      84  1290.9   3.44   34.569    -9.0    98.2    -9.0    -9.0   -9.00  -195.3     3.2    -0.1 229299922
     132       3      45  1491.5   2.97   34.593    -9.0   109.6    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     132       3      85  1492.    2.97   34.592    -9.0   109.6    -9.0    -9.0   -9.00  -200.9     2.6    -0.2 229299922
     132       3      44  1742.4   2.52   34.619    -9.0   119.7    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     132       3      87  1742.9   2.52   34.617    -9.0   120.5    -9.0    -9.0   -9.00  -224.4     2.2    -0.3 229299922
     132       3      47  1991.9   2.22   34.641    -9.0   126.5    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     132       3      89  1992.4   2.22   34.638    -9.0   126.9    -9.0    -9.0   -9.00  -226.8     2.1    -0.4 229299922
     132       3      90  2240.5   2.01   34.656    -9.0   132.7    -9.0    -9.0   -9.00  -229.8     2.2    -0.6 229299922
     132       1      41  2427.5   1.89   34.665    -9.0   134.7    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     132       1      81  2428.    1.89   34.665    -9.0   135.2    -9.0    -9.0   -9.00  -224.6     3.1    -0.2 229299922
     132       1      42  2728.4   1.79   34.671    -9.0   136.6    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     132       1      83  2728.9   1.79   34.672    -9.0   137.1    -9.0    -9.0   -9.00  -219.9     3.1    -0.2 229299922
     132       1      43  2928.6   1.7    34.675    -9.0   135.8    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     132       1      84  2929.1   1.7    34.677    -9.0   137.1    -9.0    -9.0   -9.00  -221.1     2.      0.4 229299922
     132       1      44  3179.4  -9.000  -9.000    -9.0    -9.0    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 259599999
