EXPOCODE 320620140320 WHP-ID P16S CRUISE DATES 20140326 TO 20140504 20160323SIOCCHCBG                                                                                                                                                        *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12     SF6     DOC  TRITUM  HELIUM  DELHE3  DELC14  DELC13  TCARBN  ALKALI  PH_TOT  PH_TMP                QUALT1
                                    DBAR  ITS-90  PSS-78 UMOL/KG  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG FMOL/KG UMOL/KG      TU NMOL/KG  PERCNT  /MILLE  /MILLE UMOL/KG UMOL/KG           DEG C                     *
                         *******                 ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******                             *
       1       2      33      33    26.7  5.1642 33.7827    -9.0 -9.0000    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 229999999999999999999
       1       2      34      34    27.8  5.1644 33.7827   304.2 33.7830   305.2    4.40   22.46    0.22    1.58   4.528   2.748  2.5800   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2126.2  2271.4  7.8327   20.00 222222222666199999222
       1       2      32      32    75.1  5.1630 33.7830   295.3 33.7824   305.6    4.30   22.53    0.22    1.58   4.557   2.736  2.5600   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2126.4  2270.7  7.8283   20.00 224222222333199999222
       1       2      31      31    99.6  4.8899 33.7683   304.4 33.7824   306.8    5.18   23.01    0.22    1.64  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2130.7  2270.0  7.8162   20.00 224222222999199999222
       1       2      29      29   144.8  3.6097 33.8706    -9.0 -9.0000    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 224999999999999999999
       1       2      30      30   145.2  3.6045 33.8707   302.4 33.8729   303.8    9.18   25.06    0.33    1.84   4.925   2.961  2.5900   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2146.1  2274.4  7.7787   20.00 224222222222199999222
       1       2      28      28   191.2  2.9224 33.9166   303.2 33.9021   300.5   13.09   26.82   -9.00    1.90  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2154.4  2275.8  7.7564   20.00 224222222999199999232
       1       2      27      27   239.5  3.0895 33.9884   252.8 33.9916   282.0   16.89   27.71   -9.00    1.95   4.600   2.726  1.8100   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2165.3  2278.6  7.7425   20.00 224222222222199999222
       1       2      26      26   289.8  3.2553 34.1078   256.0 34.1076   256.3   23.63   29.33   -9.00    2.06  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2180.2  2289.4  7.7131   20.00 222222222999199999222
       1       2      25      25   339.4  3.1261 34.1384   249.8 34.1375   248.9   27.24   30.17   -9.00    2.12  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 222222222999199999999
       1       2      24      24   391.0  3.1875 34.1935   234.0 34.1958   235.0   31.44   31.00   -9.00    2.16   3.438   1.909  1.2600   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2195.8  2294.3  7.6835   20.00 222222222222199999622
       1       2      23      23   470.8  3.3447 34.2883   210.7 34.2882   211.4   39.44   32.30   -9.00    2.25  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2210.5  2301.0  7.6634   20.00 222222222999199999262
       1       2      22      22   573.0  2.7734 34.2918   209.1 34.2938   210.4   46.08   33.25   -9.00    2.31  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2220.2  2304.0  7.6477   20.00 222222222999199999222
       1       2      21      21   673.8  2.7327 34.3717   193.2 34.3725   193.8   54.38   34.16   -9.00    2.39   1.861   1.050  0.5400   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2232.7  2310.9  7.6347   20.00 222222222222199999222
       1       2      20      20   774.7  2.5982 34.4432   182.5 34.4428   183.8   62.19   34.58   -9.00    2.40  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2243.8  2321.2  7.6260   20.00 222222222999199999222
       1       2      19      19   873.2  2.6494 34.5263   175.7 34.5245   176.9   67.75   34.04   -9.00    2.40   0.805   0.466  0.1300   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2249.1  2329.8  7.6318   20.00 222222222222199999222
       1       2      18      18   973.4  2.4988 34.5676   173.8 34.5671   174.6   71.84   34.02   -9.00    2.39  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2251.8  2333.1  7.6279   20.00 222222222999199999222
       1       2      17      17  1074.3  2.4146 34.5996   173.7 34.6001   174.3   74.58   33.84   -9.00    2.37  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2253.1  2334.2  7.6295   20.00 222222222555199999222
       1       2      16      16  1170.5  2.3928 34.6225   174.6 34.6293   174.9   75.75   33.47   -9.00    2.34  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 222322222999199999999
       1       2      15      15  1274.6  2.3125 34.6502   176.2 34.6502   176.1   77.89   33.09   -9.00    2.32   0.420   0.251  0.1200   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2253.6  2339.7  7.6315   20.00 222222222222199999222
       1       2      14      14  1375.2  2.2572 34.6819   179.1 34.6810   179.6   79.35   32.47   -9.00    2.26  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2251.5  2342.4  7.6424   20.00 222222222999199999222
       1       2      13      13  1549.9  2.1810 34.7069   183.2 34.7077   182.8   82.48   31.88   -9.00    2.23   0.226   0.134  0.1000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2250.8  2344.0  7.6545   20.00 222222222222199999222
       1       2      12      12  1746.0  2.0381 34.7292   187.9 34.7300   188.0   85.99   31.28   -9.00    2.20  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2250.3  2348.8  7.6674   20.00 222222222999199999226
       1       2      11      11  1947.3  1.9026 34.7376   191.6 34.7378   191.8   89.60   31.08   -9.00    2.19   0.145   0.083  0.0900   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2251.5  2352.5  7.6730   20.00 222222222222199999222
       1       2      10      10  2183.8  1.6893 34.7392   195.5 34.7392   196.1   95.94   31.14   -9.00    2.18  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 222222222999199999999
       1       2       9      09  2433.7  1.4539 34.7325   198.7 34.7321   198.7  102.97   31.37   -9.00    2.20   0.127   0.065  0.0400   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 222222222222199999999
       1       2       8      08  2690.8  1.3020 34.7271   201.2 34.7270   201.2  107.46   31.56   -9.00    2.21  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 222222222999199999999
       1       2       7      07  2942.1  1.1449 34.7201   203.6 34.7158   203.5  112.73   31.83   -9.00    2.22   0.170   0.101  0.1000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 222322222222199999999
       1       2       6      06  3234.8  1.0374 34.7147   205.6 34.7150   205.5  116.05   31.96   -9.00    2.24  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2260.1  2362.4  7.6765   20.00 222222222999199999262
       1       2       5      05  3540.2  0.8988 34.7077   208.1 34.7060   208.9  120.64   32.12   -9.00    2.27   0.265   0.151  0.1300   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 222322222222199999999
       1       2       4      04  3846.6  0.8395 34.7041   209.2 34.7022   210.1  123.18   32.30   -9.00    2.28   0.306   0.170  0.0800   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 222322222222199999999
       1       2       3      03  4148.8  0.8417 34.7033   209.2 34.7030   210.0  124.35   32.35   -9.00    2.28   0.313   0.177  0.1400   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2261.3  2360.9  7.6693   20.00 222222222222199999226
       1       2       2      02  4150.1  0.8409 34.7034    -9.0 -9.0000    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 929999999999999999999
       1       2       1      01  4563.9  0.8622 34.7024   210.0 34.7026   209.8  125.33   32.40   -9.00    2.27   0.344   0.191  0.1900   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2261.0  2362.9  7.6679   20.00 222222222222199999222
       2       1      36      36     4.6  2.0333 33.7873   325.5 33.7871   327.2   22.17   25.45    0.23    1.67   5.459   2.815  2.8000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2152.0  2279.4  7.7851   20.00 222222222666999999222
       2       1      35      35    25.4  2.0371 33.7880   327.1 33.7883   327.1   22.27   25.56    0.23    1.67   5.468   2.850  2.6000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2151.6  2279.4  7.7849   20.00 222222222222999999222
       2       1      34      34    51.6  2.0378 33.7874   327.1 33.7881   326.9   22.27   25.62    0.23    1.70   5.378   2.839  2.7000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2150.0  2279.2  7.7876   20.00 222222222222999999622
       2       1      32      32    73.4  2.0280 33.7876    -9.0 -9.0000    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 229999999999999999999
       2       1      33      33    74.3  2.0285 33.7879   327.1 33.7905   326.8   22.46   25.66    0.22    1.70  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2153.4  2279.2  7.7899   20.00 222222222999999999262
       2       1      31      31    99.7  1.6963 33.8153   327.6 33.8075   326.0   24.91   26.00    0.23    1.77   5.486   2.883  2.8400   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2157.5  2286.4  7.7673   20.00 222222222222999999222
       2       1      30      30   123.3  0.5042 34.0087   300.0 34.0084   302.4   40.33   30.54    0.24    2.15  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 222222222999999999999
       2       1      29      29   126.0  0.4925 34.0150    -9.0 -9.0000    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 229999999999999999999
       2       1      28      28   149.4  0.8403 34.1293   286.5 34.1287   268.0   47.85   32.62    0.01    2.26   4.231   2.165  1.8700   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2210.8  2296.9  7.6541   20.00 222222222222999999232
       2       1      27      27   201.6  1.6712 34.3205   220.3 34.3142   214.8   58.68   34.54   -9.00    2.39  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2234.9  2308.9  7.6223   20.00 222222222999999999222
       2       1      26      26   250.8  1.9776 34.4288   191.0 34.4312   189.5   66.87   35.07   -9.00    2.42   1.733   0.888  0.9000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 222222222222999999999
       2       1      25      25   300.2  2.1585 34.4989   179.3 34.4985   178.6   70.97   35.00   -9.00    2.42  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2253.9  2323.2  7.6114   20.00 222222222999999999222
       2       1      24      24   347.9  2.1838 34.5415   174.2 34.5408   175.1   73.70   34.75   -9.00    2.40   1.001   0.529  0.3800   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 222222222222999999999
       2       1      23      23   400.4  2.2917 34.5836   173.3 34.5830   172.8   74.58   34.13   -9.00    2.35  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2256.2  2331.9  7.6106   20.00 222222222999999999222
       2       1      22      22   451.2  2.2702 34.6047   173.2 34.6038   172.9   76.04   33.99   -9.00    2.34  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 222222222999999999999
       2       1      21      21   498.7  2.2150 34.6207   173.4 34.6193   173.3   77.50   33.82   -9.00    2.33   0.593   0.312  0.0800   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2256.5  2334.9  7.6150   20.00 222222222222999999222
       2       1      20      20   600.3  2.1766 34.6597   175.4 34.6600   175.8   79.84   33.05   -9.00    2.28  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2257.7  2338.1  7.6286   20.00 222222222999999999222
       2       1      19      19   700.2  2.1145 34.6899   178.3 34.6899   179.3   81.60   32.40   -9.00    2.24   0.340   0.183  0.0700   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2254.9  2340.8  7.6387   20.00 222222222222999999222
       2       1      18      18   800.3  2.0608 34.7074   181.6 34.7070   181.8   83.26   31.91   -9.00    2.21  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2254.2  2343.8  7.6481   20.00 222222222999999999222
       2       1      17      17   899.5  1.9797 34.7182   184.4 34.7178   184.2   85.31   31.66   -9.00    2.19   0.272   0.141  0.1400   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2253.7  2345.4  7.6542   20.00 222222222222999999222
       2       1      16      16  1000.7  1.9346 34.7292   188.0 34.7292   187.9   86.96   31.25   -9.00    2.16   0.196   0.100  0.1100   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2252.1  2348.2  7.6633   20.00 222222222222999999222
       2       1      15      15  1101.4  1.8558 34.7348   190.3 34.7353   190.3   88.82   31.09   -9.00    2.15   0.174   0.094  0.1300   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2252.6  2349.3  7.6686   20.00 222222222222999999222
       2       1      14      14  1200.8  1.7774 34.7372   192.2 34.7368   192.1   91.06   31.08   -9.00    2.14  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2252.4  2350.2  7.6728   20.00 222222222999999999262
       2       1      13      13  1301.3  1.6953 34.7384   193.9 34.7384   193.8   93.31   30.97   -9.00    2.14   0.174   0.090  0.0900   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2251.5  2349.0  7.6722   20.00 222222222222999999242
