EXPOCODE 33RR20050106 WHP-ID P16S CRUISE DATES 20050110 TO 20050211 20150511SIOCCHCBG                                                                                                                                                                       *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  CFC113     DOC  TRITUM  TRITER  HELIUM  HELIER  DELHE3  DELHER  DELC14  C14ERR  DELC13  TCARBN  ALKALI               QUALT1
                                    DBAR  ITS-90  PSS-78 UMOL/KG  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG PMOL/KG UMOL/KG      TU      TU NMOL/KG NMOL/KG  PERCNT  PERCNT  /MILLE  /MILLE  /MILLE UMOL/KG UMOL/KG                    *
                         *******                 ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******         *******         *******         *******         ******* ******* *******                    *
       1       3      36      36     5.0 28.4883 36.1133    -9.0 36.1023   214.0    0.43    0.11   -9.00    0.18   1.552   1.074   0.148   71.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2010.4  2372.4 22522222222229999966
       1       3      35      35     5.0 28.4797 36.1143    -9.0 -9.0000    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000  -9.000   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0    -9.0 22599999999999999999
       1       3      34      34    55.9 27.0036 36.2672    -9.0 36.2544   206.3    0.42    0.06   -9.00    0.19   1.715   1.114   0.178   73.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2015.0  2380.6 22522222222229999922
       1       3      33      33   105.8 25.7283 36.2231    -9.0 36.2104   205.3    0.42    0.06   -9.00    0.19   1.731   1.158   0.165   69.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2013.3  2378.9 22522222222229999922
       1       3      32      32   155.5 23.9434 36.0726    -9.0 36.0492   193.5    0.42    0.46    0.10    0.27   1.901   1.281   0.157   59.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2038.3  2367.1 22522222222229999922
       1       3      31      31   205.5 21.2406 35.8793    -9.0 35.8771   172.9    0.64    3.10    0.01    0.44   2.124   1.411   0.079   50.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2070.7  2355.5 22522222222229999922
       1       3      30      30   255.4 18.5185 35.5372    -9.0 35.5229   175.5    1.27    5.01   -9.00    0.56   2.253   1.373   0.029   49.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2083.7  2331.6 22522222222229999922
       1       3      29      29   305.3 16.4071 35.2547    -9.0 35.2491   174.6    2.11    7.35   -9.00    0.71   2.310   1.327   0.013   47.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2096.7  2314.4 22522222222229999922
       1       3      28      28   355.6 13.1612 34.8861    -9.0 34.8808   166.4    5.06   13.30   -9.00    1.13   2.001   1.198   0.015   45.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2125.7  2297.1 22522222222229999922
       1       3      27      27   405.6 10.8106 34.6590    -9.0 34.6588   150.0    9.49   19.64   -9.00    1.56   1.547   0.830   0.020   44.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2158.5  2287.1 22522222222229999922
       1       3      26      26   455.9  8.3460 34.5030    -9.0 34.5050   129.0   18.79   27.65   -9.00    2.06   0.779   0.476   0.018   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2197.5  2286.8 22522222222299999932
       1       3      25      25   505.7  7.2647 34.4357    -9.0 34.4347   156.0   19.00   28.32   -9.00    2.04   0.750   0.421   0.019   41.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2189.9  2286.2 22524222222229999922
       1       3      24      24   606.1  6.0964 34.4431    -9.0 34.5110    -9.0   30.43   30.23   -9.00    2.16  -9.000  -9.000  -9.000   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0  2300.3 22549444499999999992
       1       3      23      23   706.4  5.2232 34.4522    -9.0 34.4490   146.5   43.59   33.33   -9.00    2.36   0.120   0.074  -9.000   41.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2225.7  2308.7 22522222222229999922
       1       3      22      22   807.1  4.6700 34.4814    -9.0 34.4798   141.0   56.79   34.60   -9.00    2.44   0.050   0.042  -9.000   40.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2243.1  2320.2 22522222222229999922
       1       3      21      21   907.3  4.1814 34.5028    -9.0 34.5027   139.7   66.82   35.32   -9.00    2.49   0.021   0.013  -9.000   38.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2254.9  2333.2 22522222222229999922
       1       3      20      20  1007.9  3.7998 34.5224    -9.0 34.5208   138.6   74.94   35.82   -9.00    2.52   0.009   0.006  -9.000   39.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2267.1  2341.7 22522222222229999962
       1       3      19      19  1108.5  3.4965 34.5390    -9.0 34.5365   139.5   81.37   36.00   -9.00    2.55   0.006   0.029  -9.000   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2271.8  2348.9 22522222223299999922
       1       3      18      18  1209.2  3.1785 34.5584    -9.0 34.5580   140.9   89.09   36.16   -9.00    2.53   0.002   0.018  -0.001   36.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2279.6  2357.3 22522222223229999926
       1       3      17      17  1310.0  2.9915 34.5708    -9.0 34.5714   142.0   93.60   36.22   -9.00    2.54   0.006   0.012  -0.002   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2284.0  2360.4 22522222223299999922
       1       3      16      16  1410.5  2.8007 34.5832    -9.0 34.5829   143.9   97.90   36.23   -9.00    2.53   0.005   0.025  -0.003   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2288.2  2364.5 22522222223299999922
       1       3      14      14  1511.4  2.6164 34.5971    -9.0 -9.0000    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000  -9.000   37.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0    -9.0 22599999999929999999
       1       3      15      15  1511.4  2.6192 34.5970    -9.0 34.5947   144.8  102.62   36.23   -9.00    2.53   0.002   0.028  -0.004   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2290.4  2372.9 22522222223299999922
       1       3      13      13  1612.0  2.4888 34.6068    -9.0 34.6049   146.1  106.30   36.29   -9.00    2.53  -9.000   0.012  -0.004   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2293.4  2372.6 22522222223299999923
       1       3      12      12  1712.7  2.3640 34.6158    -9.0 34.6140   148.1  109.31   36.24   -9.00    2.52   0.001   0.040  -0.005   37.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2296.6  2376.5 22522222223229999922
       1       3      11      11  1814.0  2.2708 34.6240    -9.0 34.6234   148.8  111.89   36.25   -9.00    2.52  -0.003   0.016  -0.006   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2299.0  2381.2 22522222223299999922
       1       3      10      10  2015.8  2.1155 34.6375    -9.0 34.6359   150.6  115.99   36.19   -9.00    2.52  -0.001   0.007  -0.007   36.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2303.6  2385.5 22522222222229999922
       1       3       9       9  2268.3  1.9404 34.6535    -9.0 34.6514   152.5  121.60   36.08   -9.00    2.50  -0.002   0.007  -0.007   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2308.1  2392.2 22522222222299999922
       1       3       8       8  2521.5  1.8212 34.6644    -9.0 34.6628   154.8  125.28   35.98   -9.00    2.49  -0.005   0.008  -0.008   38.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2309.6  2393.8 22522222222229999922
       1       3       7       7  2774.7  1.7358 34.6699    -9.0 34.6701   160.2  125.06   35.65   -9.00    2.50   0.003   0.017  -0.008   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2305.9  2393.1 22522222263699999922
