EXPOCODE 33RO20071215 WHP-ID P18 CRUISE DATES 20071217 TO 20080216 20160216SIOCCHCBG                                                                                                                                                                                                  *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12     SF6    CCL4  CHLORA     DOC  TRITUM  TRITER  HELIUM  HELIER  DELHE3  DELHER  DELC13  TCARBN  ALKALI    FCO2  PH_SWS  PH_TMP                 QUALT1
                                    DBAR  ITS-90  PSS-78 UMOL/KG  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG FMOL/KG PMOL/KG   UG/KG UMOL/KG      TU      TU NMOL/KG NMOL/KG  PERCNT  PERCNT  /MILLE UMOL/KG UMOL/KG    UATM           DEG C                      *
                         *******                         ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******         *******         *******         ******* ******* ******* ******* *******                              *
     998       1      24   11024    10.1 19.5549 33.9443   230.9 33.9448    -9.0    1.50    0.20   -9.00    0.16   2.259   1.391  1.2768  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2229222222299999999999
     998       1      23   11023    10.1 19.5558 33.9450   230.9 33.9423    -9.0    1.60    0.20   -9.00    0.17   2.264   1.398  1.2839  -9.000    0.07   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2229222222292999999999
     998       1      22   11022    50.6 16.1012 33.5553   242.4 33.6115    -9.0    2.70    0.40    0.04    0.27   2.840   1.690  1.3823  -9.000    0.14   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2229222222292999999999
     998       1      21   11021    75.2 13.8164 33.5928   209.1 33.5989    -9.0    6.30    6.40    0.03    0.61   3.067   1.799  1.3764  -9.000    0.11   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2229222222292999999999
     998       1      20   11020   124.9 11.5843 34.0214    87.1 34.0094    96.6   22.60   22.20    0.01    1.81   2.654   1.492  0.9301  -9.000    0.01   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2222222222292999999999
     998       1      19   11019   199.9 10.7450 34.4624    32.3 34.4645    -9.0   35.20   27.20    0.01    2.40   1.292   0.702  0.3369  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2229222222292999999999
     998       1      18   11018   302.2  9.4886 34.5090    12.1 34.5136    -9.0   44.60   29.50   -9.00    2.68  -9.000  -9.000 -9.0000  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2229222255592999999999
     998       1      15   11015   600.3  6.5950 34.4820     5.2 34.4862    -9.0   74.90   37.80   -9.00    3.11   0.033   0.020  0.0536  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3229222222299999999999
     998       1      14   11014   701.1  5.8138 34.4727     6.8 34.4753    -9.0   84.60   40.40   -9.00    3.17   0.018   0.011  0.0352  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3229222222299999999999
     998       1      13   11013   799.7  5.2951 34.4878     8.3 34.4889    -9.0   93.00   41.90   -9.00    3.19   0.012   0.006  0.0649  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3229222222299999999999
     998       1      12   11012   900.9  4.8114 34.4928    12.3 34.4946    14.3  100.90   42.60   -9.00    3.23   0.013   0.008  0.0319  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3222222222299999999999
     998       1      11   11010  1099.4  4.0508 34.5256    21.6 34.5267    -9.0  116.20   43.40   -9.00    3.20   0.016   0.007  0.0826  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3229222222299999999999
     998       1      10   11011  1299.5  3.5614 34.5616    30.9 34.5634    -9.0  127.00   43.20   -9.00    3.17   0.014   0.006  0.0487  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3229222222299999999999
     998       1      17   11017  1595.8  2.9366 34.5953    49.6 34.5977    -9.0  140.60   42.30   -9.00    3.02   0.008   0.005  0.0522  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2229222222299999999999
     998       1       9   11009  1601.3  2.9471 34.5948    49.2 34.5963    -9.0  140.10   42.10   -9.00    3.05   0.010   0.006  0.0608  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3229222222299999999999
     998       1       8   11008  1899.1  2.3999 34.6242    72.3 34.6272    74.1  151.00   41.00   -9.00    2.89   0.023   0.014  0.0462  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3222222222299999999999
     998       1       7   11007  2199.0  2.0608 34.6465    90.5 34.6488    -9.0  156.80   39.70   -9.00    2.76   0.006   0.005  0.0345   0.008   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3229222222239999999999
     998       1       6   11006  2499.3  1.8478 34.6598   102.6 34.6655    -9.0  161.20   39.20   -9.00    2.68   0.006   0.007 -9.0000   0.008   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3249222222239999999999
     998       1       5   11005  2499.5  1.8475 34.6598   102.6 34.6597    -9.0  160.20   39.00   -9.00    2.67   0.009   0.010  0.0329   0.008   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3229222222239999999999
     998       1       3   11003  2699.6  1.7334 34.6664   111.3 34.6677    -9.0  163.30   39.00   -9.00    2.63   0.009   0.011  0.0306   0.008   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3229666222239999999999
     998       1       4   11004  2699.8  1.7334 34.6664   111.3 34.6678   112.9  163.30   38.80   -9.00    2.63   0.010   0.011 -9.0000   0.008   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3222666222239999999999
     998       1       1   11001  2919.4  1.6498 34.6711   117.4 34.6731   116.9  165.60   38.40   -9.00    2.58   0.016   0.017  0.0501   0.009   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3222222266639999999999
     998       1       2   11002  2919.7  1.6501 34.6711   117.4 34.6729    -9.0  165.20   38.40   -9.00    2.59   0.012   0.013 -9.0000   0.010   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3229666222239999999999
     998       1      16   11016  2926.3  1.6535 34.6712   117.5 34.6740   117.7  165.40   38.20   -9.00    2.57   0.009   0.013  0.0500   0.007   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2222222222239999999999
